# link_lengths=0.3,0.3,0.3
theta_0,theta_1,theta_2,gt_x,gt_y
-7.646426612422057012e-01,-3.058524125439729069e+00,-1.770776061133548351e+00,2.150327478721099361e-01,1.721069461136489898e-01
-1.666815432612798853e+00,2.148138012930879803e+00,-5.955141142674094112e-01,5.351997017488213659e-01,-1.939156014016334140e-01
-8.018646684483194953e-01,2.720509273079323442e+00,1.971372702301715130e+00,-1.134808969057836125e-01,-1.377092587887882857e-01
6.546583565989001485e-01,8.235651033265147802e-01,2.140674867974712292e-01,2.293502265401851925e-01,7.791705186755807366e-01
2.348952230606684566e-01,2.633759223429204432e+00,3.003892528364628056e+00,2.779265694560116295e-01,3.093253569240361767e-02
-1.609397367100473097e+00,1.589499309128799887e+00,-7.730528589756735514e-02,5.869470176664873806e-01,-3.348606487979682855e-01
-2.955962257947465144e+00,2.096915291107992019e+00,-1.443111349194108328e-01,6.234385324520894112e-02,-5.355201560716295051e-01
2.105907296186831701e+00,-2.452537394392111381e+00,2.035166969899728784e-01,4.261089458872613367e-01,1.133569204646458217e-01
1.631659597656565097e-02,3.015493938939700413e+00,-2.357092487549891313e+00,2.360310017513313208e-01,2.251664325777089637e-01
-1.325371549746562794e+00,4.522433573597606227e-01,-2.696569050118484689e+00,-7.306030450461353798e-03,-3.963688049223021426e-01
