# link_lengths=0.2,0.15,0.15,0.15,0.1,0.1
theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,gt_x,gt_y
-2.308651914021155438e+00,-2.650015669915561034e+00,-3.122144632911658668e+00,-1.605405659797699336e+00,-1.596690821054402853e-01,1.923874610981715527e+00,-3.746689010443243206e-01,-1.687868393288556867e-01
1.269347796671361550e+00,-3.019468818194371185e+00,4.941972339575988471e-01,-2.524453424109283084e+00,-2.371835048515604782e+00,2.129263106567465869e+00,-5.809862707898419409e-03,8.041460231396904690e-02
3.247233808410094902e-01,1.364769707891142936e+00,-2.444784673307490497e+00,2.502906675951452442e+00,-2.931801857853602922e+00,1.873726094901035921e-01,3.466140703002689727e-01,8.099617180789393800e-02
1.902469292225523745e-01,-6.590679321488277509e-01,7.860224207521229189e-01,1.441250051002509025e+00,-2.750147483989043629e+00,-1.306931121108330540e+00,4.329421572100867199e-01,5.840575222379990050e-03
3.104779834565344565e+00,2.229389198920289417e+00,-7.756669957934021475e-01,-2.269110165060602480e+00,1.407459984008097464e+00,5.192673422005835704e-01,-3.668245606300294392e-01,-2.905361259717391675e-01
3.877076963432961598e-01,1.710496113110320238e-01,-1.860993194453363087e+00,-2.974408686525182421e+00,2.354858640540760994e+00,-1.520879329724574403e+00,1.589469483531488203e-01,8.224490019637960281e-02
-1.913953517881707533e+00,7.612261784732154979e-02,1.726648620277192236e+00,-1.289696825184599271e+00,1.679664603215204721e+00,7.513060114619447560e-01,2.151788145233337335e-01,-3.842524468761023826e-01
1.239453606095493932e+00,-2.673279257924440877e+00,-2.028467029915399067e+00,-2.542614026202693278e+00,-2.993599229968779696e-01,-1.493501120976489238e+00,1.930174409607908759e-01,2.706591248700183916e-02
-6.293143859359671133e-01,3.095818290795158134e-01,4.010208597156901256e-01,-2.237293479676939700e+00,2.840149152361311380e+00,5.691345153693170289e-01,4.794498191139792698e-01,-1.195224012810270076e-01
2.915864063618996305e+00,1.201967338510035788e+00,1.941792773674562156e+00,1.048288984040114613e+00,-1.780654715286322798e+00,8.457399890665593389e-01,1.262117857905854512e-01,-9.527850043155998427e-02
