# link_lengths=0.2,0.2,0.15,0.15,0.1,0.1
theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,gt_x,gt_y
6.241348902498167206e-03,1.904425120750897982e+00,2.839592537926897364e+00,7.172294358767836719e-01,-7.764434843350049853e-01,1.601017712211104005e+00,3.396683025787656796e-01,-1.684046026506983984e-01
-3.748064406421427464e-01,1.195911037824184397e-01,-1.247566105147712046e+00,2.449710710800586000e+00,1.448287872336336157e+00,-1.476362959826163168e+00,4.647162507247066809e-01,-4.229674968830032800e-03
2.393770953264883872e+00,-2.819328438300787720e+00,8.995132987338987363e-01,5.623165753211609719e-01,9.631338646695111194e-01,-1.066904223503865712e+00,2.634294966841648211e-01,4.222468265660856979e-01
-1.661630096700636106e+00,5.610656901265600460e-01,-4.551158636740724184e-01,1.771757848706216443e+00,1.603954198765356942e+00,-1.115722698288406534e+00,2.727956383991645417e-01,-3.336301129018298117e-01
3.086201590816256335e+00,-4.645368181639497607e-01,2.900792207278287904e+00,7.195980375282542418e-01,-2.157727274917129900e+00,-3.094029089212710915e-01,-2.541047115884187413e-01,-1.392493402136137925e-01
9.053232308780483351e-01,-7.635333279642582127e-01,-5.852441885359298546e-01,-2.194906213120385807e+00,2.806621139565494971e+00,1.021857299351305315e+00,4.613089730148303147e-01,1.584778150937506402e-01
-2.755177412005667570e+00,1.396704650478724830e+00,-1.365334897857949370e+00,-4.123426380470451846e-01,1.486239299922225143e+00,1.289721616577972796e+00,-3.445232983032007756e-01,-4.674921081450027494e-01
-2.770270882905583321e+00,-4.443347792428844478e-01,-6.044402698286326370e-01,2.761467268982276124e-02,-1.834361389590536184e+00,-2.745442434772566997e+00,-5.924304720839411731e-01,1.009878772591349949e-01
2.346109918205796063e+00,-2.713192843619487427e-01,7.425272575935935038e-01,-1.456534166462287505e+00,-1.878425165795423846e+00,1.560765860090925550e+00,-2.102337008859246903e-01,5.493848615891416820e-01
-1.926577554188344310e+00,-8.520458620737385580e-01,-7.574935107097604536e-01,1.403899598419335426e+00,4.171069327959608941e-01,-1.193168205721180541e+00,-5.866411862586904391e-01,-4.498855877309571594e-01
