# link_lengths=0.15,0.15,0.15,0.15,0.15,0.15
theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,gt_x,gt_y
2.227079095907815720e-01,3.028897055718038800e+00,-1.305840798369778621e+00,2.481453421713951002e+00,-2.970873032677582959e+00,2.520715156515096922e+00,-1.834268500020622139e-01,5.007517590041249411e-02
7.777468249091921138e-01,1.835239990360473250e+00,-7.181809738538857957e-02,1.110119861291770427e+00,-2.335348026276383493e+00,2.476102100089551783e+00,-3.589063953166320986e-01,2.467861997358309911e-01
3.009895921603760627e+00,-1.702165888445024144e-01,-2.018843032503590429e+00,1.008191240084608253e+00,2.213749404560902079e+00,1.776981719115341640e+00,-1.869040480485859856e-01,1.344217092296641214e-01
-1.684271349802202167e-01,-1.429744073242585456e+00,1.945548525134826789e+00,2.177974736303369241e+00,2.804386125166531407e+00,-8.138927488710567815e-01,2.199427539711796553e-01,-3.067524263213580182e-01
8.985416651136866051e-01,-2.482892933487375053e+00,2.237135719512773235e+00,1.522760941905732857e+00,-1.083159632085970880e+00,-1.846980054695877227e+00,3.035933029691212370e-01,2.122937334909252849e-01
-1.528594832898159561e+00,-5.911275330872753919e-01,-1.408062969598875558e+00,-2.716063402292063333e+00,-2.457859144882100555e+00,-1.348163370822854645e-01,-2.982591906646371305e-01,-3.979204732798909960e-01
-2.977985154866903184e+00,-2.090087199726551326e+00,-2.239518494563833340e+00,1.868016144533854117e+00,8.962763616987823312e-02,2.728358923982666440e+00,4.100696412381554801e-02,1.460760769479914623e-01
-1.358241941292423594e+00,9.700175326270752407e-01,-1.186213155132679775e+00,1.036903526496653960e+00,9.514779682019200990e-01,-1.004498887264778428e+00,5.607069346279773825e-01,-4.533978466177364108e-01
7.529996038676989301e-01,1.251500954786052056e+00,1.914643725828475418e-01,9.802252739518966251e-01,4.683823242980404977e-01,-2.385356808288206398e+00,-2.767224153355016258e-01,4.255996973766543179e-01
1.276268576219065309e+00,2.988514957675092454e+00,-4.534861266189671447e-01,9.880412958530433443e-01,1.162565686063505410e+00,7.333380512484266589e-02,1.617847580918469752e-01,-3.184080135722662797e-01
