# link_lengths=0.4,0.3,0.2,0.1
theta_0,theta_1,theta_2,theta_3,gt_x,gt_y
2.474519332540978667e+00,1.784805052678914983e+00,1.929682671822151363e+00,-3.126043456327556758e+00,-3.461485228665357461e-01,-3.321024301623279329e-02
-2.286131443291770537e+00,2.540078968262033499e+00,-1.119987818659416323e+00,1.149361800451681681e+00,2.536131254717864936e-01,-3.509806464828452710e-01
-2.006399125120753801e+00,-2.954592208140333742e+00,1.724264925382863467e-01,2.936318254522297444e+00,-1.075224094047249473e-01,3.148547711459519227e-02
8.155818086979271797e-01,6.319442380510662538e-01,2.319380886210407056e+00,-1.992009575665176113e+00,1.286409169426357413e-01,5.698272947545192091e-01
-1.498392992863001760e+00,1.732790779263351233e+00,-1.412764495768311201e+00,-9.691767530306059086e-01,3.426892312611490299e-01,-5.978954353893664031e-01
-8.023516337189096070e-01,-1.353183454626998738e+00,1.852633935465322956e+00,-1.336411415246391066e+00,2.964614200531008881e-01,-6.971773711852858879e-01
2.702954981342442942e+00,1.647146393828493594e+00,-4.132308635845132194e-01,1.053342180629437408e+00,-5.810476497196555012e-01,-3.496210431627556625e-01
-2.587614738801571779e+00,-8.735006197436954167e-01,1.422501810373999476e-01,-1.287668837887337325e+00,-8.324224711790426667e-01,1.851365547749946050e-02
2.678269738118674859e-01,1.852714166545352370e+00,1.676985453566492978e+00,-1.256044934967656568e+00,-1.202463037633999532e-02,2.961454471441112291e-01
6.067619736183567092e-01,-1.604013760515629716e+00,-5.890494408768058854e-01,-3.113269731862149836e+00,4.870006893801667736e-01,-1.238948903413443908e-01
