# link_lengths=0.25,0.25,0.5
theta_0,theta_1,theta_2,gt_x,gt_y
-1.987779640173836349e+00,-8.031541324430566675e-01,2.885110937639172590e-01,-7.373332541105563909e-01,-6.127226222409483114e-01
-1.998484940033647739e+00,2.562047587372286550e+00,-2.524379327132968420e-01,5.836420792830230297e-01,5.913337870336776714e-02
3.015411402211467973e+00,-3.313816760775529779e-01,2.611166873195393201e+00,-1.971102469490021991e-01,-2.755579246736936105e-01
2.088355183267436743e+00,1.533232265563377439e+00,-1.002915975639903312e+00,-7.786213798964451982e-01,3.515202826824878612e-01
1.241793813859388251e+00,-1.155378201416033201e+00,-7.082416118782131065e-03,8.282693101307925243e-01,2.977933027165464708e-01
-3.359125629934038848e-01,3.917089845966721384e-01,-1.072719280343413573e+00,7.486311823543503330e-01,-4.937126076386348927e-01
2.625267577144732023e+00,2.103840926021170787e+00,3.100075179670654713e+00,-2.008324372340309916e-01,3.733031204445962370e-01
-2.353838066257400996e+00,2.383238135531436264e+00,2.331857822574380457e+00,-2.818067153459149488e-01,1.819148767870871208e-01
-1.803862609270266981e+00,2.091699870425743235e+00,-4.939371527046554355e-01,6.713927679312328145e-01,-2.745928608944077087e-01
-2.865497849466565050e-01,-2.865498134982430223e+00,1.570989381478633540e+00,-1.531116012325450804e-02,-5.680209985785944493e-01
