# link_lengths=0.2,0.2,0.2,0.2,0.2
theta_0,theta_1,theta_2,theta_3,theta_4,gt_x,gt_y
7.483256893442460367e-01,4.689109984959216604e-01,-1.732607984500231790e+00,-3.852304284423113678e-01,1.264466239850421836e+00,7.009690674152311285e-01,1.395777050387728146e-01
1.896992254050603677e+00,-1.299823561410652362e+00,-2.246583236077948520e+00,1.463312799886923976e+00,1.936237838352057317e+00,2.464609742490517230e-01,2.623185495781074072e-01
2.937971649571302635e+00,9.565455981750430325e-01,1.801775220144875789e+00,-1.736534972214898831e+00,1.105087100228479002e+00,-2.429451891276626641e-01,-5.407511672571820860e-01
-9.368563812511592204e-01,-2.985143703784825853e+00,2.752363373136594404e+00,-3.023566590604005899e+00,1.120315422106686221e+00,-2.443262134655280748e-01,-4.463341130003288526e-02
7.400404849008466179e-01,2.326586494367753666e+00,6.790866831230015777e-01,2.172315628428235890e+00,2.788715341858408969e+00,-1.801569708820708604e-01,9.639684304641503443e-02
-7.487289927545353052e-01,6.755329411593278266e-01,3.674259054291630910e-01,2.530746317453321126e+00,-1.598483368724268994e+00,4.148299231896340755e-01,1.577655461823286309e-01
6.961630999310131074e-02,1.201062272834875877e+00,-7.020753685875833483e-01,-2.261299798802117511e+00,6.996692718773545039e-01,5.120844425424363466e-01,-5.338904286078050010e-02
-3.337815873242679920e-01,-6.016976757752829919e-01,-2.218121820108698294e+00,-2.750101534870738273e+00,-1.036358253524500839e+00,4.518150875858859550e-01,-2.721398513229476013e-01
1.438992790330554605e+00,-2.291453712560811873e+00,1.477089940336706597e+00,2.847838750236802774e+00,-3.544085179478471126e-01,-6.894936581185368007e-02,1.043761993581042297e-01
1.178605019879889859e+00,9.166256864190973630e-01,-1.165891972582149272e-01,-2.953754867095698344e+00,1.081414029904257390e+00,2.080576459992517779e-01,3.971987491717324237e-01
