# link_lengths=0.4,0.4
theta_0,theta_1,gt_x,gt_y
2.391776223067187068e+00,-2.960936802106419741e+00,4.421586893306250765e-02,5.703171336969523053e-02
-9.265502348207013128e-01,-1.951532895137094492e+00,-1.459543913344214516e-01,-4.240093273324758161e-01
-2.567582107608022302e+00,2.796145265372493860e+00,5.370518659743900303e-02,-1.265703594902872764e-01
1.392518423258993110e+00,-2.795429116450253382e+00,1.377732480765860301e-01,-7.158948347503746312e-04
3.111746874258479956e+00,-1.314595936922458685e+00,-4.895925084770020863e-01,4.017329356578192012e-01
-2.825465616234172028e+00,3.543500679027382638e-01,-6.935887605585567828e-01,-3.728990956217382857e-01
-2.505711808660584961e+00,-2.334985651890746361e+00,-2.706368701838249846e-01,1.591573305279637696e-01
1.370614377175662923e+00,-2.048913424614575263e+00,3.909955162936628592e-01,1.410243652339383535e-01
-3.024399780537568638e+00,-2.972640298176963292e+00,-1.352069489637841571e-02,6.613259964433718108e-02
3.139128492186556763e+00,4.120634809287881950e-02,-7.996986317224195062e-01,-1.450733471249983884e-02
