# link_lengths=0.3,0.25,0.2,0.15
theta_0,theta_1,theta_2,theta_3,gt_x,gt_y
1.043536652617762073e+00,1.527160088651058345e-03,3.886587051067329490e-01,-1.340484815562896115e+00,4.530892741455309070e-01,6.875853054002006859e-01
-2.590705711481673390e-01,-2.235611385901725257e+00,-9.739006945740009691e-01,1.951624687512132361e-01,-2.476000351567143321e-01,-1.435800192900670569e-01
-1.016500721780650984e+00,2.791889592159188638e+00,-2.502115276562105528e+00,2.412123265631303859e+00,2.394295122129040110e-01,5.835288141764621850e-03
1.522528567898602248e+00,-8.629865668285265912e-01,-1.823459889780816745e+00,2.280915553932439721e+00,3.569492849907635046e-01,4.039854655623391633e-01
-1.616548934800038362e+00,-1.400963160887528591e+00,-2.325110875164811297e+00,-2.261704526334196608e+00,-1.068718764544960426e-01,-3.143984260925963836e-01
4.275055497803053051e-01,3.018609934866750777e+00,-2.256965339110831970e+00,7.562253693678915312e-01,5.411090569824075075e-02,3.746309484312980720e-01
-2.425212501909403073e+00,-1.553908315417253938e+00,2.243721948063881477e-01,1.061851049363752075e+00,-6.923009434398095241e-01,3.877182079614691079e-02
-1.850568350308046339e+00,-5.990391345962744474e-01,-1.572807624276314042e+00,2.944848129496580924e+00,-3.316186664265576289e-01,-4.257210074565465074e-01
4.430682037934947637e-01,-2.102301073463205938e+00,1.605487247848500054e+00,4.177460881572203633e-01,5.888350555651405971e-01,-7.775061965466048552e-02
1.923257122136200259e+00,-1.674649086578874568e+00,1.308958187787903071e+00,1.853975276032722164e+00,-3.170283591994421668e-03,5.030517539286225581e-01
