# link_lengths=0.3,0.25,0.2,0.15,0.1
theta_0,theta_1,theta_2,theta_3,theta_4,gt_x,gt_y
-7.093403047904849323e-01,2.707920781369915986e+00,-2.704466206187015054e+00,3.072209431044563566e-01,2.349783317429023910e+00,3.772461111004157819e-01,-6.304354356460990794e-02
8.706855692049186857e-02,1.374026835083743237e+00,-2.468853785383080535e+00,-4.647614296222828401e-01,-1.979662004014249410e+00,3.524877574834864302e-01,-1.325694665075522957e-02
-2.761831610270095272e+00,-7.299351967207368119e-01,-1.720407429192589266e+00,5.931519937879601301e-01,9.567846946646092476e-01,-5.183413322071794838e-01,3.491835262709883647e-01
2.619834057465118882e+00,3.053363800051791976e+00,-1.570490149290481030e+00,-1.722938831693155981e+00,-2.413039894766736637e+00,-1.782827413749014656e-01,-5.744890499301455455e-02
1.984340750194736103e+00,2.614199206903179196e+00,-2.117967477496826234e+00,-1.812417099087402672e+00,2.191368914843661919e+00,-2.851346269388222998e-01,2.698787586947196671e-01
-2.258230952720728268e+00,-2.666325694927680345e+00,-2.937928489795642584e+00,-1.633038588636013921e+00,1.965167316092326644e-01,-3.882576927981981063e-01,-1.894024618008889604e-01
-6.141769644097734293e-01,4.031829252873753155e-01,-1.823336146960905735e+00,-1.880386098813319640e+00,-7.756504734122851019e-01,2.906458921407258367e-01,-1.994075374153638502e-01
-5.803106802008906051e-01,-2.703875210979391763e+00,2.399597554898091900e-02,2.869688218185752149e+00,-2.587442177850379998e+00,-1.551263206498844360e-01,-1.786834098400905402e-01
1.944553594729758750e+00,-1.301171172566131240e-01,2.914409256115461311e+00,8.737901487337014217e-01,1.253252001014454109e+00,3.407524412310029838e-02,2.817397890557709061e-01
-2.863381344901506420e+00,1.009499890512382869e+00,-1.033095299341170392e+00,4.286410346659130788e-01,-8.061785300990527148e-01,-7.674198778085159489e-01,-4.552522636802516787e-01
