# link_lengths=0.3,0.3,0.2,0.1,0.1
theta_0,theta_1,theta_2,theta_3,theta_4,gt_x,gt_y
2.716549945140835476e+00,-2.969649881007124570e+00,-2.618822294790374094e+00,7.169231836717337991e-01,-2.320004292314004068e+00,-2.543055275461617026e-01,9.083652051153273677e-03
6.161384171841830515e-01,5.681653596754885349e-01,7.669769192579662942e-01,1.755109288782103150e+00,1.918954539372888846e+00,2.783050988520670566e-01,5.222689946450643772e-01
-3.116424262391183753e+00,2.113949140726842479e+00,3.065602290129246121e+00,1.736477539767966149e+00,-1.165226690240457330e-01,-3.977910016769623525e-01,-1.968405405255873319e-01
-3.960573389785357890e-01,7.831687470062465017e-01,-2.431171619296623732e-03,-3.093894120835516404e-02,-4.018348817250299021e-01,9.336541690716202435e-01,1.024054105863690528e-01
-1.834612431095239860e+00,-1.614541909621865612e+00,-2.417104619757842077e+00,-1.393115174806102141e+00,9.374701177996644930e-01,-2.534131824338226036e-02,-2.045172206398624126e-01
-7.316130707334886907e-01,-1.492426444841929323e+00,8.288692426048154260e-01,2.149661032169625230e-03,2.727133098882343454e+00,1.169768157852209417e-01,-6.367916271008294826e-01
6.856062165384115836e-01,2.834226783782769488e+00,-2.107350214042515990e+00,-2.558704368528057493e-01,1.187969526578648960e+00,-4.469403285156179489e-02,4.397274209588795113e-01
-1.069735313395581588e+00,2.996061969442574302e+00,-9.902493891077015498e-01,2.906146722373490476e-01,4.304298784046314275e-01,1.833844470917357083e-01,3.729296746181433031e-01
-2.606602037809067518e+00,2.553949232416057313e+00,2.926295305247677447e+00,-3.035689562223296445e+00,-1.921128224836106346e+00,-1.016962023861542885e-01,-2.190793221463980534e-01
1.270645911270145589e+00,2.694417537467091783e+00,1.442299324609296995e+00,-1.768365823030091377e-01,9.663388602044165054e-02,1.200718243980937461e-01,-2.556441449089834617e-01
