# link_lengths=0.25,0.25,0.25,0.25
theta_0,theta_1,theta_2,theta_3,gt_x,gt_y
6.363581555115884747e-01,1.283290161421305697e+00,2.977153774658024332e+00,2.791514916789012979e+00,2.026809188660242678e-01,3.843252642490101456e-01
1.916615751089635111e+00,-2.659632160786561617e+00,1.691200887349825877e+00,-1.672159018621052207e+00,4.324503801271949444e-01,1.035690533123427015e-01
1.460388154844882713e-01,-3.118482175325765660e+00,3.628586161046261083e-01,2.443740138026536890e+00,3.202898620519920025e-02,-1.737934364671737120e-01
-3.016564502482098842e+00,2.705816421831934271e+00,2.668637558065749538e+00,-6.080740459739186754e-01,-2.316144509255009809e-01,3.148631049116943914e-01
-6.491925918737373458e-01,2.723964798111427221e+00,-5.659881577660996754e-01,7.891405342718855742e-01,-7.227328202967076010e-02,5.040725773010747979e-01
-2.553913118847110475e+00,5.429345082255920829e-01,-2.874821796839762023e+00,2.239536794010235532e+00,-4.914006464750970138e-01,-2.373561637315805828e-01
2.289834572663647094e-01,-5.390981817007589605e-01,-2.046415546432127641e+00,-1.806371966812490903e+00,1.741506092352888835e-01,1.693577907552831774e-02
1.009594710437795584e-01,1.372855876407169440e+00,2.476726690614938775e-01,8.946357696039974883e-01,1.913152116124466895e-02,6.465938065344682961e-01
-1.559956474879153232e+00,6.231254992851829044e-01,9.835887637346178991e-01,-1.446986222020307133e+00,4.429582380770826777e-01,-6.860935058619279658e-01
2.868770514487049006e+00,-1.987714549653071705e+00,-2.787574637293448010e+00,1.674956351935872334e+00,7.929509198636613965e-02,-3.320236931735760788e-02
