# link_lengths=0.4,0.35,0.25
theta_0,theta_1,theta_2,gt_x,gt_y
-1.453062113888555551e+00,-4.554286506268701018e-01,2.063841738951744276e+00,1.780148653418432425e-01,-6.887815797394672979e-01
-2.989985758076595612e+00,2.766647725472886066e+00,5.110746988802841173e-01,1.856175331151276309e-01,-6.698514160686834529e-02
-1.802443281865783398e+00,-1.542104435055022815e+00,-1.002280812044363145e+00,-5.240168383924306283e-01,-8.528733565110810377e-02
-2.312901971398432899e+00,-1.806501168639543353e+00,1.209325533068595249e+00,-7.092603758632650690e-01,-6.193542729494139892e-02
1.643542290577373777e+00,3.099227411608734606e+00,-1.073366944928865419e+00,-2.344191272644015056e-01,-7.680708598404392684e-02
-6.438487457178432294e-02,-2.072904987348604067e+00,1.041304971654416711e+00,3.256270672921774967e-01,-5.434066945862439102e-01
-6.788418251894747790e-01,-1.879166083534725473e+00,-2.156702985987009491e+00,1.982819399566014204e-02,-1.940141088955761595e-01
-1.389919858676255782e+00,-2.568406128786528075e+00,1.061784352990605029e+00,-4.101866026185451708e-01,-1.990063451857186361e-01
-1.970267433611527341e+00,-2.089964021786760107e+00,2.472331417085746885e+00,-3.722640756893405012e-01,-3.402984794516197287e-01
-2.496354950274745743e+00,-6.057017344826185479e-01,-3.898660371453304130e-01,-9.041240998808417473e-01,-1.685873710590487518e-01
