# link_lengths=0.25,0.65
theta_0,theta_1,gt_x,gt_y
9.758685911913529409e-01,3.137180830273123000e+00,-2.265509952392100734e-01,-3.296631758038073290e-01
-2.807922503494016730e+00,2.451172626994130965e+00,3.728622566629692381e-01,-3.088781274507632624e-01
-2.708648513907681910e+00,-3.084062901770255660e+00,3.464377055229654889e-01,2.012922989829265263e-01
-7.898481432700976690e-01,-6.239197971388259489e-01,2.776377970196891587e-01,-8.195642265349404321e-01
-1.030289728385844761e+00,2.624547660318369502e+00,1.133939655569666388e-01,4.354590852489100827e-01
1.716336029062030200e+00,1.128062231358680556e+00,-6.577618088576360211e-01,4.377021312533642128e-01
5.801299487494144813e-01,-1.368219874569076566e+00,6.674784148670995787e-01,-3.238217700629425488e-01
-9.370579121215119045e-01,-2.415736421386539323e+00,-4.875164652759558237e-01,-6.519208095721970575e-02
-1.114066498315824827e+00,-4.754325924657321067e-02,3.688649414928143466e-01,-8.207139668460137205e-01
-9.064215386489622439e-01,-1.392652906448233141e+00,-2.784888485577303729e-01,-6.819346250164646239e-01
