# link_lengths=0.55,0.4
theta_0,theta_1,gt_x,gt_y
1.747734980437871677e+00,-4.510145348403633569e-01,1.145370126534063504e-02,9.264832255977035746e-01
-3.623652325886204117e-01,1.387052078437465141e-01,9.043204233955907112e-01,-2.836877576277754831e-01
1.241626394032548930e+00,-2.153565795212758260e+00,4.226770736448046684e-01,2.041940259334241725e-01
-8.022579466849006913e-01,2.799448326193165748e+00,2.168606839139254339e-01,-3.122484273654629883e-02
-2.003072500315821181e+00,7.028441546367694137e-01,-1.235047575627325478e-01,-8.848556860530691903e-01
-2.714690980676215393e+00,4.331965589517481341e-01,-7.615843510546520534e-01,-5.308915528123296923e-01
2.503552001276471373e+00,6.325217629713280054e-01,-8.417892904388852848e-01,3.298000358945361032e-01
-2.795296657178011568e+00,-7.927677087599711570e-01,-8.781404695812109473e-01,-1.396449404924590687e-02
2.360417524638789288e-01,-2.255281394945558127e+00,3.613238685902515623e-01,-2.318284580298761444e-01
3.086064523765805312e+00,-7.937340033244808524e-01,-8.133672146517434420e-01,3.308420676036671892e-01
