# link_lengths=0.7,0.2
theta_0,theta_1,gt_x,gt_y
5.263378687455060323e-01,3.122923118271761389e+00,4.304807469791440688e-01,2.544309774374794442e-01
-9.136898931757682085e-01,2.998767600536160316e+00,3.291980129011194967e-01,-3.801048227646761646e-01
-3.037710859159905574e-01,6.520882420315938788e-01,8.559403718900414626e-01,-1.411212259482031994e-01
-4.001939485142980146e-02,1.564829246027820808e+00,7.086335854141327939e-01,1.717824622099538845e-01
9.351785754945671769e-01,2.827235099030351861e-01,4.846953424376651554e-01,7.509688448542801709e-01
2.570351660368263680e+00,2.315756072280967359e+00,-5.542921898535748682e-01,1.814837371867465410e-01
2.832726834376334324e+00,-3.013547537828531908e+00,-4.701359779957887119e-01,1.768174340289646040e-01
-2.649496094698187587e+00,-2.173366071957542278e+00,-5.948912347071982909e-01,-1.319514924795434363e-01
-1.720828034480631041e+00,1.702340696043065371e+00,9.533718397644151687e-02,-6.958336944411517289e-01
-2.649244809470690853e+00,-5.629462806705145539e-01,-8.163596231253141822e-01,-3.167793572528261326e-01
