# link_lengths=0.2,0.2,0.2,0.15,0.15,0.1
theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,gt_x,gt_y
2.567669416106012292e+00,-1.641143980603267272e+00,-3.077808845309234265e+00,-2.465331281965240429e+00,1.998753254491425047e+00,-2.116076859517336928e+00,-2.996019115362310581e-01,2.755267786298097876e-01
-1.312347780005039377e+00,2.019705009058804457e+00,1.750098234317649215e+00,1.113022421830017983e+00,2.776449046232358775e+00,-5.798089952161067373e-01,1.483971790242001321e-01,-3.916131619047800994e-02
-2.217017382930924541e+00,-2.906005328111625818e+00,-2.419388866418421102e+00,2.232732307312633502e+00,1.923055243937381142e+00,2.994289708722404519e+00,5.195708563554904402e-02,-4.448733346231095731e-02
1.435941716967415793e+00,2.172445097148513860e+00,-6.561573276991503612e-01,1.165579612827650990e+00,-1.587303758551519950e+00,-1.810801058308199263e+00,-4.798164759733127283e-01,1.735481234224265923e-01
-2.188654405898938116e+00,1.451550563081677403e+00,-1.783114497184407288e+00,2.947184466420284643e+00,2.455420458240913817e+00,-1.517916682026837272e+00,-1.183588442967146853e-01,-2.154414498792090460e-01
3.756996426925902632e-01,2.863213997279725476e+00,2.590753638322146557e+00,-2.598790857041425539e+00,-2.970231804000123432e+00,-2.373508818570619017e+00,1.107191079680268364e-01,-9.405855022970108226e-02
2.023391694668312368e+00,-6.348698596814252859e-01,8.219518569595472002e-01,-1.336406143891659015e+00,-2.061741699972787334e+00,-1.914659585812682474e+00,-1.181875550005842684e-01,5.089991353099574400e-01
3.079686542760669887e+00,-5.413227902980422002e-02,-1.668457907794679951e+00,2.439081688671873138e+00,-2.209732474558399939e+00,1.867910521457323725e+00,-5.723475215051284648e-01,2.588676889548225390e-01
-2.333517354894890872e+00,-2.560934204195234543e+00,-2.361193361953740855e+00,2.742887373190415978e+00,5.775095460778820744e-01,2.595854392062193483e-01,-2.103198291246833329e-01,1.917112167920687338e-01
1.953401044216627191e+00,-7.896277261246367196e-01,-1.601881327400490163e+00,1.032953508401289078e+00,-1.000715620561778429e-01,-1.667724416078334215e+00,4.806090287457008836e-01,3.474466210555585133e-01
