# link_lengths=0.15,0.25,0.25,0.2,0.15
theta_0,theta_1,theta_2,theta_3,theta_4,gt_x,gt_y
1.771121028581807977e-01,1.895307732642074861e+00,7.340752856570378349e-01,2.804577069214486684e-02,-1.457175186499638952e+00,-3.704652496477686130e-01,5.354967268257666557e-01
2.144166090731272512e+00,8.667974579081558772e-01,1.526271799178728017e+00,1.203237294648873856e+00,1.402751388700953505e+00,-1.036814015648339221e-01,-7.721078194937527894e-02
-2.139544886487018349e+00,3.006565761112045543e+00,-7.829311271311807374e-01,2.299125311735657817e+00,-6.204908760002578738e-01,1.563017987250440444e-01,3.700071175006389712e-01
-1.140775653024216130e+00,1.653862914929482564e-01,-2.535356292034371073e+00,-1.277997173720142099e+00,-1.691623067467414199e+00,1.319359059162465153e-01,-8.308575284012913176e-02
8.049760960913365793e-01,2.211572972391435243e+00,-2.257622022199480494e+00,-1.603048380380853288e+00,-7.037224767314174123e-01,1.736351289793661989e-01,1.189942361082130251e-02
-4.161411872502331910e-01,-1.540730067100569922e+00,-1.554992776572759583e+00,-1.232007730418181124e+00,3.922125483415750402e-01,-2.366457958945847040e-01,1.384802762469997117e-01
-2.122067302444767378e+00,-6.167878825755370720e-01,2.152138014263246468e+00,-7.666464048254169050e-01,-2.254842594066480466e+00,-1.911925961884029246e-01,-4.919822735289764992e-01
2.105419452637742772e+00,-1.024017225619689331e+00,-3.488490231301204503e-01,2.238240648500891439e+00,-6.079981223795649647e-01,-7.689111940888905539e-02,6.562735400615752335e-01
1.352262628471383898e+00,3.318133638039268973e-01,-2.420082682605443125e+00,-1.617238382254870821e-01,-1.978414908836131358e+00,1.694801329716859595e-01,3.126277487865272015e-02
-7.561705023415945526e-01,2.815788833344116782e+00,2.191987460731581905e+00,2.830724492441711426e+00,-1.335445670665156293e-01,1.380072406261174667e-01,1.298561819268393425e-01
