# link_lengths=0.35,0.3,0.2,0.15
theta_0,theta_1,theta_2,theta_3,gt_x,gt_y
8.583997482512772947e-01,6.088626443791484988e-01,1.568138929183199082e+00,2.801553331228358701e+00,1.962206356467467716e-01,5.197357991358368956e-01
4.304111174809119866e-01,1.473783020938940425e+00,-1.608931620414266739e-01,-3.110717163103120075e+00,2.158683846189404232e-01,4.796394839961873879e-01
-3.767750611102100855e-01,8.773118373215638144e-01,2.178340957514008913e+00,2.989018716659992414e+00,5.321693579743531632e-01,1.789235120971585657e-02
-2.029802133093860039e+00,1.206878070422492399e+00,1.758831845075959244e+00,-2.833655420487978915e+00,1.193981054151343202e-01,-5.147402832717896670e-01
2.673127941925307560e+00,2.317748423730771279e+00,-4.775886505505035906e-01,-8.023669630128527075e-01,-3.957185948249930529e-01,-4.073196637503052608e-01
1.401912961502413957e+00,1.529711684248451498e-01,5.448780787568212602e-01,1.316270151129736554e+00,-1.817126896211473386e-01,7.769973246817886148e-01
-2.629216506434039591e+00,-1.887817838683259364e+00,3.043628498044544273e+00,-2.998722905695947460e-01,-3.740058926730777111e-01,-2.232815391912728598e-01
2.182234287886334556e+00,-2.191880459891631716e+00,-1.333936581257010090e+00,-5.356130061344894777e-01,9.859274412768541385e-02,-5.408827725882572879e-02
-2.742608858120556103e+00,1.857541642516792102e+00,-9.930692792920425838e-01,1.179394954566094000e+00,-7.819549931073385696e-02,-6.552725390846230180e-01
1.909573396100748610e+00,-1.313375954535012102e+00,2.470610366761214038e+00,6.318602946736064929e-01,-1.948355814311142353e-01,4.341937484919831669e-01
