# link_lengths=0.5,0.3,0.2
theta_0,theta_1,theta_2,gt_x,gt_y
1.768602414873289952e+00,-1.114555610835656019e+00,2.831545668172852359e-01,2.582382810393410999e-01,8.339518203295686050e-01
-1.944189921924595055e-01,-1.351213608998307558e+00,1.446032204141520339e+00,6.971371588323034274e-01,-4.163904364331741381e-01
-2.758308891808814778e+00,-4.145469284961516010e-01,2.641881149877891133e+00,-5.911114258132552646e-01,-2.788813771845863876e-01
1.832875617513039401e+00,2.006149283181630771e+00,3.120153952686090193e+00,-2.034757166581381282e-01,4.153857154787579109e-01
-2.473761835623615735e+00,-1.953900265433640593e+00,8.468208510347174922e-01,-6.578663194513638679e-01,6.333128652603960129e-02
1.178772048112581849e+00,-1.784545645850109663e+00,-1.619422483333350371e+00,3.159118898474770898e-01,1.325666354192743257e-01
-1.132226183029594768e+00,1.823635659753048976e+00,-2.007450830581939627e+00,4.938287615760550975e-01,-4.549378190193196225e-01
-2.147420529894605856e+00,-1.754745192666291809e+00,2.483338622961563935e-01,-6.642607115830442277e-01,-1.143268796349979910e-01
2.561330955943281751e-01,-1.366537656210156326e+00,-2.604954937602523390e+00,4.490057035873301072e-01,-3.353279613960057082e-02
-2.408478742524537086e+00,-2.645603157543823247e+00,5.962896897875862301e-01,-3.213933631448914752e-01,1.416162079042630195e-01
